prov_name;pob;year
Vizcaya;1159368;2024
Madrid;7056184;2024
Navarra;678333;2024
Pontevedra;947869;2024
Álava;338594;2024
Alicante;1991259;2024
Barcelona;5877672;2024
Girona;821108;2024
Valencia;2710808;2024
Islas Baleares;1231768;2024
Sevilla;1968624;2024
Asturias;1017000;2024
Guipuzcoa;729722;2024
Castellón;615188;2024
Ceuta;83052;2024
Albacete;389070;2024
Burgos;359740;2024
Cádiz;1258730;2024
Córdoba;774313;2024
León;447802;2024
Andorra;85101;2024
Granada;940974;2024
Málaga;1789103;2024
Cantabria;590851;2024
A Coruña;1128449;2024
Valladolid;525398;2024
Zaragoza;987763;2024
Huesca;228519;2024
Almería;760964;2024
Las Palmas;1140258;2024
